name,summary,home_page,layer,dependent_number,dependency
adanet,adanet is a lightweight and scalable TensorFlow AutoML framework for training and deploying adaptive neural networks using the AdaNet algorithm [Cortes et al. ICML 2017](https://arxiv.org/abs/1607.01097).,https://github.com/tensorflow/adanet,1,,
cleverhans,,https://github.com/tensorflow/cleverhans,1,2.0,
fairness-indicators,Fairness Indicators,https://github.com/tensorflow/fairness-indicators,1,,
inference-gym,"The Inference Gym is the place to exercise inference methods to help make them faster, leaner and more robust.",https://github.com/tensorflow/probability/tree/master/spinoffs/inference_gym,1,,
intel-tensorflow,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,1.0,
intel-tensorflow-avx512,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,,
lucid,Collection of infrastructure and tools for research in neural network interpretability.,https://github.com/tensorflow/lucid,1,,
ml-pipelines-sdk,A dependency-light distribution of the core pipeline authoring functionality of TensorFlow Extended (TFX).,https://www.tensorflow.org/tfx,1,5.0,
model-card-toolkit,Model Card Toolkit,https://github.com/tensorflow/model-card-toolkit,1,,
neural-structured-learning,Neural Structured Learning is an open-source TensorFlow framework to train neural networks with structured signals,https://github.com/tensorflow/neural-structured-learning,1,3.0,
ngraph-tensorflow-bridge,Intel nGraph compiler and runtime for TensorFlow,https://github.com/tensorflow/ngraph-bridge,1,,
pydone,A small python library,https://github.com/tensorflow/models,1,,
rflow-ml-pipelines-sdk,A dependency-light distribution of the core pipeline authoring functionality of TensorFlow Extended (TFX).,https://www.tensorflow.org/tfx,1,1.0,
rflow-tfx,TensorFlow Extended (TFX) is README.ml-pipelines-sdk.md TensorFlow-based general-purpose machine learning platform implemented at Google.,https://www.tensorflow.org/tfx,1,,
skflow,Simplified Interface for TensorFlow for Deep Learning,https://github.com/tensorflow/skflow,1,,
spark-tensorflow-distributor,This package helps users do distributed training with TensorFlow on their Spark clusters.,https://github.com/tensorflow/ecosystem/tree/master/spark/spark-tensorflow-distributor,1,,
syntaxnet,SyntaxNet: Neural Models of Syntax,https://github.com/tensorflow/models/tree/master/syntaxnet,1,,
syntaxnet-with-tensorflow,SyntaxNet: Neural Models of Syntax,https://github.com/tensorflow/models/tree/master/syntaxnet,1,,
tb-nightly,TensorBoard lets you watch Tensors Flow,https://github.com/tensorflow/tensorboard,1,22.0,
tbp-nightly,Profile Tensorboard Plugin,https://github.com/tensorflow/profiler,1,,
tensorboard,TensorBoard lets you watch Tensors Flow,https://github.com/tensorflow/tensorboard,1,395.0,
tensorboard-data-server,Fast data loading for TensorBoard,https://github.com/tensorflow/tensorboard/tree/master/tensorboard/data/server,1,13.0,
tensorboard-plugin-fairness-indicators,Fairness Indicators TensorBoard Plugin,https://github.com/tensorflow/fairness-indicators,1,,
tensorboard-plugin-profile,Profile Tensorboard Plugin,https://github.com/tensorflow/profiler,1,2.0,
tensorflow,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,2196.0,
tensorflow-aarch64,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,,
tensorflow-ascend,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,,
tensorflow-cloud,The TensorFlow Cloud repository provides APIs that will allow to easily go from debugging and training your Keras and TensorFlow code in a local environment to distributed training in the cloud.,https://github.com/tensorflow/cloud,1,6.0,
tensorflow-compression,Data compression in TensorFlow,https://tensorflow.github.io/compression/,1,,
tensorflow-cpu,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,29.0,
tensorflow-cpu-estimator,TensorFlow Estimator.,https://www.tensorflow.org/,1,1.0,
tensorflow-data-validation,A library for exploring and validating machine learning data.,https://www.tensorflow.org/tfx/data_validation/get_started,1,10.0,
tensorflow-datasets,tensorflow/datasets is a library of datasets ready to use with TensorFlow.,https://github.com/tensorflow/datasets,1,64.0,
tensorflow-decision-forests,Collection of training and inference decision forest algorithms.,https://github.com/tensorflow/decision-forests,1,,
tensorflow-estimator,TensorFlow Estimator.,https://www.tensorflow.org/,1,145.0,
tensorflow-estimator-2.0-preview,TensorFlow Estimator.,https://www.tensorflow.org/,1,,
tensorflow-federated,TensorFlow Federated is an open-source federated learning framework.,http://tensorflow.org/federated,1,3.0,
tensorflow-federated-nightly,TensorFlow Federated is an open-source federated learning framework.,http://tensorflow.org/federated,1,1.0,
tensorflow-fedora28,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,,
tensorflow-gpu,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,194.0,
tensorflow-gpu-estimator,TensorFlow Estimator.,https://www.tensorflow.org/,1,2.0,
tensorflow-graphics,"A library that contains well defined, reusable and cleanly written graphics related ops and utility functions for TensorFlow.",https://github.com/tensorflow/graphics,1,1.0,
tensorflow-graphics-gpu,"A library that contains well defined, reusable and cleanly written graphics related ops and utility functions for TensorFlow.",https://github.com/tensorflow/graphics,1,,
tensorflow-hub,"TensorFlow Hub is a library to foster the publication, discovery, and consumption of reusable parts of machine learning models.",https://github.com/tensorflow/hub,1,106.0,
tensorflow-io,TensorFlow IO,https://github.com/tensorflow/io,1,10.0,
tensorflow-io-gcs-filesystem,TensorFlow IO,https://github.com/tensorflow/io,1,9.0,
tensorflow-io-gcs-filesystem-nightly,TensorFlow IO,https://github.com/tensorflow/io,1,1.0,
tensorflow-io-nightly,TensorFlow IO,https://github.com/tensorflow/io,1,1.0,
tensorflow-io-plugin-gs-nightly,TensorFlow IO,https://github.com/tensorflow/io,1,1.0,
tensorflow-lattice,A library that implements optionally monotonic lattice based models.,https://github.com/tensorflow/lattice,1,1.0,
tensorflow-lattice-gpu,TensorFlow Lattice provides lattice models in TensorFlow,https://github.com/tensorflow/lattice,1,,
tensorflow-macos,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,1.0,
tensorflow-metadata,Library and standards for schema and statistics.,,1,15.0,
tensorflow-model-analysis,A library for analyzing TensorFlow models,https://www.tensorflow.org/tfx/model_analysis/get_started,1,11.0,
tensorflow-model-optimization,"A suite of tools that users, both novice and advanced can use to optimize machine learning models for deployment and execution.",https://github.com/tensorflow/model-optimization,1,12.0,
tensorflow-model-remediation,TensorFlow Model Remediation,https://github.com/tensorflow/model-remediation,1,,
tensorflow-neuron,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,,
tensorflow-onnx,tensorflow-onnx,https://github.com/tensorflow-onnx,1,,
tensorflow-privacy,,https://github.com/tensorflow/privacy,1,5.0,
tensorflow-probability-gpu,Remind Supply Chain Risks,https://github.com/tensorflow-probability-gpu,1,1.0,
tensorflow-quantum,TensorFlow Quantum is a library for hybrid quantum-classical machine learning.,https://github.com/tensorflow/quantum/,1,2.0,
tensorflow-ranking,Pip package setup file for TensorFlow Ranking.,https://github.com/tensorflow/ranking,1,4.0,
tensorflow-recommenders,"Tensorflow Recommenders, a TensorFlow library for recommender systems.",https://github.com/tensorflow/recommenders,1,1.0,
tensorflow-recommenders-addons,"Tensorflow Recommenders Addons, a TensorFlow library for recommender systems.",https://github.com/tensorflow/recommenders-addons,1,,
tensorflow-recorder,WhiteHat Bug Bounty,https://github.com/tensorflow-recorder,1,,
tensorflow-rocm,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,,
tensorflow-rocm-enhanced,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,,
tensorflow-similarity,Metric Learning for Humans,https://github.com/tensorflow/similarity,1,,
tensorflow-tensorboard,TensorBoard lets you watch Tensors Flow,https://github.com/tensorflow/tensorboard,1,13.0,
tensorflow-tesla,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,,
tensorflow-tflex,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,1.0,
tensorflow-tools,WhiteHat Bug Bounty,https://github.com/tensorflow-tools,1,,
tensorflow-transform,A library for data preprocessing with TensorFlow,https://www.tensorflow.org/tfx/transform/get_started,1,12.0,
tensorflowdnspython,Remind Supply Chain Risks,https://github.com/tensorflowdnspython,1,,
tensorflownumpy,Remind Supply Chain Risks,https://github.com/tensorflownumpy,1,1.0,
tf-agents,TF-Agents: A Reinforcement Learning Library for TensorFlow,https://github.com/tensorflow/agents,1,8.0,
tf-agents-nightly,TF-Agents: A Reinforcement Learning Library for TensorFlow,https://github.com/tensorflow/agents,1,,
tf-estimator-nightly,TensorFlow Estimator.,https://www.tensorflow.org/,1,10.0,
tf-hub-nightly,"TensorFlow Hub is a library to foster the publication, discovery, and consumption of reusable parts of machine learning models.",https://github.com/tensorflow/hub,1,1.0,
tf-models-nightly,TensorFlow Official Models,https://github.com/tensorflow/models,1,3.0,
tf-models-official,TensorFlow Official Models,https://github.com/tensorflow/models,1,17.0,
tf-nightly,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,22.0,
tf-nightly-cpu,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,,
tf-nightly-gpu,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,,
tf-nightly-xla-gpu,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,1,,
tfds-nightly,tensorflow/datasets is a library of datasets ready to use with TensorFlow.,https://github.com/tensorflow/datasets,1,10.0,
tfg-nightly,"A library that contains well defined, reusable and cleanly written graphics related ops and utility functions for TensorFlow.",https://github.com/tensorflow/graphics,1,,
tflite-model-maker,TFLite Model Maker: a model customization library for on-device applications.,http://github.com/tensorflow/examples,1,,
tflite-model-maker-nightly,TFLite Model Maker: a model customization library for on-device applications.,http://github.com/tensorflow/examples,1,,
tflite-support,TFLite Support is a toolkit that helps users to develop ML and deploy TFLite models onto mobile devices.,https://www.tensorflow.org/,1,4.0,
tflite-support-nightly,TFLite Support is a toolkit that helps users to develop ML and deploy TFLite models onto mobile devices.,https://www.tensorflow.org/,1,1.0,
tfq-nightly,TensorFlow Quantum is a library for hybrid quantum-classical machine learning.,https://github.com/tensorflow/quantum/,1,,
tfsim-nightly,Metric Learning for Humans,https://github.com/tensorflow/similarity,1,,
tfx,TensorFlow Extended (TFX) is a TensorFlow-based general-purpose machine learning platform implemented at Google.,https://www.tensorflow.org/tfx,1,3.0,
tfx-bsl,tfx_bsl (TFX Basic Shared Libraries) contains libraries shared by many TFX (TensorFlow eXtended) libraries and components.,https://www.tensorflow.org/tfx,1,9.0,
waseda-ml-pipelines-sdk,A dependency-light distribution of the core pipeline authoring functionality of TensorFlow Extended (TFX).,https://www.tensorflow.org/tfx,1,1.0,
waseda-tfx,TensorFlow Extended (TFX) is a TensorFlow-based general-purpose machine learning platform implemented at Google.,https://www.tensorflow.org/tfx,1,,
witwidget,What-If Tool jupyter widget,https://github.com/tensorflow/tensorboard/tree/master/tensorboard/plugins/interactive_inference,1,3.0,
witwidget-gpu,What-If Tool jupyter widget,https://github.com/tensorflow/tensorboard/tree/master/tensorboard/plugins/interactive_inference,1,,
wyl-ml-pipelines-sdk,A dependency-light distribution of the core pipeline authoring functionality of TensorFlow Extended (TFX).,https://www.tensorflow.org/tfx,1,1.0,
wyl-tfx,TensorFlow Extended (TFX) is a TensorFlow-based general-purpose machine learning platform implemented at Google.,https://www.tensorflow.org/tfx,1,,
wyljpn-tfx,TensorFlow Extended (TFX) is a TensorFlow-based general-purpose machine learning platform implemented at Google.,https://www.tensorflow.org/tfx,1,,
yifeif-tensorflow-graphics,"A library that contains well defined, reusable and cleanly written graphics related ops and utility functions for TensorFlow.",https://github.com/tensorflow/graphics,1,,
yulong-ml-pipelines-sdk,A dependency-light distribution of the core pipeline authoring functionality of TensorFlow Extended (TFX).,https://www.tensorflow.org/tfx,1,2.0,
yulong-tfx,TensorFlow Extended (TFX) is a TensorFlow-based general-purpose machine learning platform implemented at Google.,https://www.tensorflow.org/tfx,1,,
dnnmodels,Simple models inspired by Cleverhans that help create DNN Architectures,https://github.com/NullConvergence/dnnmodels,2,,cleverhans
unrestricted-advex,Evaluation code and mnist_baselines for the warmup to the unrestricted adversarial examples contest,https://github.com/google/unrestricted-advex,2,,cleverhans
FaceChannel,A python interface for training Reinforcement Learning agents to play the Chef's Hat Card Game.,https://github.com/pablovin/facechannel,2,,intel-tensorflow
rflow-tfx,TensorFlow Extended (TFX) is a TensorFlow-based general-purpose machine learning platform implemented at Google.,https://www.tensorflow.org/tfx,2,,ml-pipelines-sdk
tfx,TensorFlow Extended (TFX) is a TensorFlow-based general-purpose machine learning platform implemented at Google.,https://www.tensorflow.org/tfx,2,3.0,ml-pipelines-sdk
waseda-tfx,TensorFlow Extended (TFX) is a TensorFlow-based general-purpose machine learning platform implemented at Google.,https://www.tensorflow.org/tfx,2,,ml-pipelines-sdk
yulong-tfx,TensorFlow Extended (TFX) is a TensorFlow-based general-purpose machine learning platform implemented at Google.,https://www.tensorflow.org/tfx,2,,ml-pipelines-sdk
zenml,ZenML: Write production-ready ML code.,https://zenml.io,2,,ml-pipelines-sdk
hotWater,The program uses a residual deep learning model to predict water hot-spots on the surface of proteins,,2,,neural-structured-learning
tflite-model-maker,TFLite Model Maker: a model customization library for on-device applications.,http://github.com/tensorflow/examples,2,,neural-structured-learning
tflite-model-maker-nightly,TFLite Model Maker: a model customization library for on-device applications.,http://github.com/tensorflow/examples,2,,neural-structured-learning
rflow-tfx,TensorFlow Extended (TFX) is README.ml-pipelines-sdk.md TensorFlow-based general-purpose machine learning platform implemented at Google.,https://www.tensorflow.org/tfx,2,,rflow-ml-pipelines-sdk
SiamBOMB,SiamBOMB: Siamese network using Background information for real-time Online Multi-species home-cage animal Behavioral analysis,https://github.com/JackieZhai/SiamBOMB,2,,tb-nightly
back,Backbone for PyTorch training loop,https://github.com/EvgenyKashin/backbone,2,,tb-nightly
basicsr,Open Source Image and Video Super-Resolution Toolbox,https://github.com/xinntao/BasicSR,2,2.0,tb-nightly
firelab,Experimental framework to run pytorch experiments,https://github.com/universome/firelab,2,,tb-nightly
flood-forecast,An open source framework for deep time series forecasting built with PyTorch.,,2,,tb-nightly
gfpgan,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration,https://github.com/TencentARC/GFPGAN,2,1.0,tb-nightly
neuralnet-pytorch,A high-level library on top of Pytorch.,https://github.com/justanhduc/neuralnet-pytorch,2,,tb-nightly
nn-toolbox,A toolbox for common deep learning procedures,https://github.com/nhatsmrt/nn-toolbox,2,,tb-nightly
paddlehub,A toolkit for managing pretrained models of PaddlePaddle and helping user getting started with transfer learning more efficiently.,https://github.com/PaddlePaddle/PaddleHub,2,3.0,tb-nightly
parl,Reinforcement Learning Framework,https://github.com/PaddlePaddle/PARL,2,,tb-nightly
sonosco,Framework for training deep automatic speech recognition models.,https://github.com/Roboy/sonosco/tree/demo,2,,tb-nightly
tensorflow,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,2,2196.0,tb-nightly
tensorflow-cpu,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow-cpu.org/,2,29.0,tb-nightly
tensorflow-gpu,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,2,194.0,tb-nightly
tensorflow-rocm,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,2,,tb-nightly
tf-nightly,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,2,22.0,tb-nightly
tf-nightly-cpu,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,2,,tb-nightly
tf-nightly-gpu,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,2,,tb-nightly
tf-nightly-xla-gpu,TensorFlow is an open source machine learning framework for everyone.,https://www.tensorflow.org/,2,,tb-nightly
trixi,"Manage your machine learning experiments with trixi - modular, reproducible, high fashion",https://github.com/MIC-DKFZ/trixi,2,,tb-nightly
trojai,TrojAI model and dataset generation library,https://github.com/trojai/trojai,2,,tb-nightly
tw,TorchWrapper is a deep learning helper.,https://github.com/atranitell/TorchWrapper,2,,tb-nightly
A-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
B-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
BSPPypi3,Predict the Genre for each 10-second interval of the video.,https://github.com/GDGVIT/background-score-prediction,2,,tensorboard
BackgroundVellore,Predict the Genre for each 10-second interval of the video.,https://github.com/GDGVIT/background-score-prediction,2,,tensorboard
CEEM,Official implementation of CE-EM algorithm,https://github.com/sisl/CEEM,2,,tensorboard
ChefsHatPlayersClub,A collection of ready-to-use agents for the Chef's Hat Gym Environment,https://github.com/pablovin/ChefsHatPlayersClub,2,,tensorboard
D-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
DataProfiler,"What is in your data? Detect schema, statistics and entities in almost any file.",https://github.com/capitalone/data-profiler,2,1.0,tensorboard
DeePyMoD,DeePyMoD is a PyTorch-based implementation of the DeepMoD algorithm for model discovery of PDEs.,https://github.com/phimal/deepymod,2,,tensorboard
DeepSpectrumLite,,https://github.com/DeepSpectrum/DeepSpectrumLite,2,,tensorboard
E-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
EasyTensorBoard,,,2,,tensorboard
Eve-ml,Eve: make deep learning more interesting.,https://github.com/densechen/eve,2,,tensorboard
F-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
FF-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
FFF-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
FFFF-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
GRR-profiler,GrAIOne and GrAIVip,https://bitbucket.org/Benuraj/gml_profiler/src/master/,2,,tensorboard
Gammalearn,A framework to easily train deep learning model on Imaging Atmospheric Cherenkov Telescopes data,https://gitlab.lapp.in2p3.fr/GammaLearn/GammaLearn,2,,tensorboard
